relative_path,file_size,modified_timestamp,duplicate_hash,planned_action,reason
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/util.css,12720,2026-06-29T08:40:39.809722,e9c9244f08810a75,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/00-bootstrap-folder-structure.md,1121,2026-06-26T16:25:22.032387,734453190b33cb61,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/01-inventory-scan.md,1365,2026-06-26T16:25:22.064563,20869f25782a5905,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/02-domain-mapping.md,907,2026-06-26T16:25:22.096297,68cbdc47585ec23f,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/03-coverage-matrix.md,1748,2026-06-26T16:25:22.121710,a684a22efb03b003,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/04-gap-analysis.md,854,2026-06-26T16:25:22.143938,df24342d5cd24ad3,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/05-final-report.md,924,2026-06-26T16:25:22.163732,8ba31d60380ecac5,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/prompts/06-cursor-self-audit.md,735,2026-06-26T16:25:22.191268,bc63f5760cf7ce01,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/templates/domain-coverage-template.md,902,2026-06-26T16:25:22.223001,68fed240bc00221c,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/templates/executive-report-template.md,1322,2026-06-26T16:25:22.241857,e3b2eb64f3786d1c,archive_or_remove,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/README-NEXT-STEPS.md,2057,2026-06-26T16:50:03.080679,6f33065ce40a1f8c,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/gitlab/2026-06-26-gitlab-nightly-schedule.png,55741,2026-06-26T17:05:30.725640,b7dc7bc1b042367c,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/gitlab/2026-06-29-v3-ue-testng-303.png,42304,2026-06-29T08:42:42.915547,d707442b39528226,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/gitlab/2026-06-29-v3-unite-idp-testng.png,66525,2026-06-29T08:42:42.982612,c724305fe46893b6,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/jenkins/2026-06-26-idp-performance-suite.png,60090,2026-06-26T17:05:30.560430,14b71269dd5895c4,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/jenkins/2026-06-26-v2-jenkins-build-steps.png,55261,2026-06-26T17:05:30.453863,5dd4894cf8f53f18,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/jenkins/2026-06-26-v2-jenkins-suite-summary.png,93954,2026-06-26T17:05:30.453863,01c420d61ee3bf75,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-01.png,95783,2026-06-26T17:59:15.287504,9a44af54d0a7005c,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-02.png,143366,2026-06-26T17:59:15.543542,bfecc7e93ca41760,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-03.png,133866,2026-06-26T17:59:15.735045,81ae3ce15afb9ec9,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-04.png,123561,2026-06-26T17:59:15.869640,36f25df6b01128cf,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-05.png,137501,2026-06-26T17:59:16.146513,89be07974fa79779,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-06.png,217144,2026-06-26T17:59:16.448738,079155dc2f6d9f2e,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-07.png,158852,2026-06-26T17:59:16.660963,d52c63a882429d5d,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-08.png,139641,2026-06-26T17:59:16.848364,6bc89a0fc9acb5be,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-09.png,222611,2026-06-26T17:59:17.128304,e32508f79d39f62b,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-26-v2-module-report-10.png,140397,2026-06-26T17:59:18.091194,a07565dba90f1455,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/00-input-evidence/regression-reports/2026-06-29-v2-qtest-744-testcases.png,20576,2026-06-29T08:42:42.982612,01f51609e40c1280,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/archive/05-superseded-prior-assessment.pdf,364883,2026-06-29T08:24:59.971625,26f94f54f927c3d3,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/00-INTERNAL-reconciliation-and-counts.md,8789,2026-06-29T08:48:12.446478,9b78a204fcaa0349,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/07-requirement-traceability-matrix.md,6202,2026-06-26T17:18:33.043641,b3e952ed2b160bc8,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/08-ui-automation-inventory-internal-with-runs.md,6406,2026-06-26T17:19:15.993488,c0da5a17cbfd0221,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/09-api-endpoint-coverage-matrix-internal.md,6687,2026-06-26T17:19:54.976887,2c1ad81839610c52,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/11-execution-evidence-ledger.md,11681,2026-06-26T17:17:14.328176,fb48dfda96df6c92,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/12-nick-validation-pack.md,2585,2026-06-26T17:22:56.775889,6eea2f9109caa917,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/14-independent-audit-report.md,4275,2026-06-26T17:30:05.932317,c23632d9312b585f,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/15-final-validation-report.md,4243,2026-06-26T17:34:28.970448,52490745155a22a0,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/02-internal-evidence/execution/16-source-and-evidence-index.md,2407,2026-06-26T17:23:37.805877,b5832d8a06223e6a,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/README.md,90,2026-06-26T16:50:03.128751,5fd0f884dc535e4c,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/00-source-inventory.md,7725,2026-06-26T16:35:52.229201,8bb63d8e0d661154,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/01-domain-mapping.md,7946,2026-06-26T16:36:21.396646,05261158fc59776a,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/02-coverage-matrix.md,5449,2026-06-26T16:36:46.283696,65c1772bb6e16b01,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/03-gap-analysis.md,5852,2026-06-26T16:37:11.235798,b0d318e2309e1a14,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/04-kevin-response-draft.md,4887,2026-06-26T16:37:28.866588,789de12f99170059,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/05-review-notes-for-nick.md,2086,2026-06-26T16:37:36.568966,353eac4eb498f2f5,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/archive/2026-06-26-preliminary-assessment/06-cursor-self-audit.md,4805,2026-06-26T16:37:54.754115,9bd96f2437b2d765,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/00-deliverable-manifest.md,3542,2026-06-29T08:50:16.393033,258f3372cff8eb1c,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/01-executive-summary.md,4098,2026-06-29T08:48:59.934531,2785663d5a7b99d2,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/02-leadership-coverage-dashboard.md,4118,2026-06-29T08:49:31.186064,afcac49b42c8aa88,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/03-gaps-priorities-and-ownership.md,2555,2026-06-29T08:42:36.076540,3fd82fc9082d4dbf,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/04-kevin-rajib-email.md,3312,2026-06-29T08:51:17.579261,5dea3180e0adc293,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/04b-nick-factual-review-email.md,1887,2026-06-29T08:51:29.432166,0a41ea9471c184e3,archive,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/up-coverage-metrics-finalization-pack-v2/final/05-universal-platform-automation-assessment.docx,42369,2026-06-29T08:53:32.842949,274486fa6e51491e,archive,pre-rebuild inventory
